model,seed,metric,value
linear_probe_8,0,leaf_accuracy,0.7384615384615385
linear_probe_8,0,leaf_macro_f1,0.7204630964811959
linear_probe_8,0,h_micro_p,0.8363095238095238
linear_probe_8,0,h_micro_r,0.8264705882352941
linear_probe_8,0,h_micro_f1,0.831360946745562
linear_probe_8,0,h_samples_f1,0.8289743589743591
linear_probe_8,0,h_macro_f1,0.7756037045820328
linear_probe_8,0,hf1_auc,0.6598374050848598
linear_probe_8,1,leaf_accuracy,0.7307692307692307
linear_probe_8,1,leaf_macro_f1,0.7150443523682599
linear_probe_8,1,h_micro_p,0.8383233532934131
linear_probe_8,1,h_micro_r,0.8235294117647058
linear_probe_8,1,h_micro_f1,0.8308605341246291
linear_probe_8,1,h_samples_f1,0.8287179487179487
linear_probe_8,1,h_macro_f1,0.7724704453326803
linear_probe_8,1,hf1_auc,0.6762463124482355
linear_probe_8,2,leaf_accuracy,0.7230769230769231
linear_probe_8,2,leaf_macro_f1,0.7035425833920818
linear_probe_8,2,h_micro_p,0.8382352941176471
linear_probe_8,2,h_micro_r,0.8382352941176471
linear_probe_8,2,h_micro_f1,0.8382352941176471
linear_probe_8,2,h_samples_f1,0.8338461538461539
linear_probe_8,2,h_macro_f1,0.7719785010896512
linear_probe_8,2,hf1_auc,0.6741874665262674
linear_probe_8,3,leaf_accuracy,0.7692307692307693
linear_probe_8,3,leaf_macro_f1,0.7604929417959435
linear_probe_8,3,h_micro_p,0.8783382789317508
linear_probe_8,3,h_micro_r,0.8705882352941177
linear_probe_8,3,h_micro_f1,0.8744460856720827
linear_probe_8,3,h_samples_f1,0.8751282051282051
linear_probe_8,3,h_macro_f1,0.8209325804868486
linear_probe_8,3,hf1_auc,0.6746401614557723
linear_probe_8,4,leaf_accuracy,0.7230769230769231
linear_probe_8,4,leaf_macro_f1,0.7098030655474458
linear_probe_8,4,h_micro_p,0.8328358208955224
linear_probe_8,4,h_micro_r,0.8205882352941176
linear_probe_8,4,h_micro_f1,0.8266666666666667
linear_probe_8,4,h_samples_f1,0.8220512820512821
linear_probe_8,4,h_macro_f1,0.7685644103140511
linear_probe_8,4,hf1_auc,0.6724712200192969
