model,seed,metric,value
setfit_3,0,leaf_accuracy,0.6461538461538462
setfit_3,0,leaf_macro_f1,0.6485470587503163
setfit_3,0,h_micro_p,0.7543352601156069
setfit_3,0,h_micro_r,0.7676470588235295
setfit_3,0,h_micro_f1,0.760932944606414
setfit_3,0,h_samples_f1,0.7597435897435898
setfit_3,0,h_macro_f1,0.707904827748252
setfit_3,0,hf1_auc,0.6417205844892495
setfit_3,1,leaf_accuracy,0.7461538461538462
setfit_3,1,leaf_macro_f1,0.7434464470135489
setfit_3,1,h_micro_p,0.8333333333333334
setfit_3,1,h_micro_r,0.8382352941176471
setfit_3,1,h_micro_f1,0.8357771260997068
setfit_3,1,h_samples_f1,0.8392307692307692
setfit_3,1,h_macro_f1,0.793186587671473
setfit_3,1,hf1_auc,0.6841684010434009
setfit_3,2,leaf_accuracy,0.7230769230769231
setfit_3,2,leaf_macro_f1,0.7115256088940298
setfit_3,2,h_micro_p,0.8495575221238938
setfit_3,2,h_micro_r,0.8470588235294118
setfit_3,2,h_micro_f1,0.8483063328424153
setfit_3,2,h_samples_f1,0.8530769230769231
setfit_3,2,h_macro_f1,0.7819128698550761
setfit_3,2,hf1_auc,0.6593268250310105
setfit_3,3,leaf_accuracy,0.6538461538461539
setfit_3,3,leaf_macro_f1,0.6420880890695132
setfit_3,3,h_micro_p,0.7774480712166172
setfit_3,3,h_micro_r,0.7705882352941177
setfit_3,3,h_micro_f1,0.774002954209749
setfit_3,3,h_samples_f1,0.7812820512820513
setfit_3,3,h_macro_f1,0.7041590216628917
setfit_3,3,hf1_auc,0.6452491454414531
setfit_3,4,leaf_accuracy,0.6538461538461539
setfit_3,4,leaf_macro_f1,0.6391623938198173
setfit_3,4,h_micro_p,0.7987804878048781
setfit_3,4,h_micro_r,0.7705882352941177
setfit_3,4,h_micro_f1,0.784431137724551
setfit_3,4,h_samples_f1,0.7853846153846155
setfit_3,4,h_macro_f1,0.704463837110726
setfit_3,4,hf1_auc,0.6821806057003424
