model,seed,metric,value
sim_desc,0,leaf_accuracy,0.6
sim_desc,0,leaf_macro_f1,0.56125901538857
sim_desc,0,h_micro_p,0.7424242424242424
sim_desc,0,h_micro_r,0.7205882352941176
sim_desc,0,h_micro_f1,0.7313432835820897
sim_desc,0,h_samples_f1,0.7364102564102564
sim_desc,0,h_macro_f1,0.6444989579752151
sim_desc,0,hf1_auc,0.801066028718818
sim_desc,1,leaf_accuracy,0.5846153846153846
sim_desc,1,leaf_macro_f1,0.5615853032857081
sim_desc,1,h_micro_p,0.7151515151515152
sim_desc,1,h_micro_r,0.6941176470588235
sim_desc,1,h_micro_f1,0.7044776119402986
sim_desc,1,h_samples_f1,0.7148717948717949
sim_desc,1,h_macro_f1,0.6302105008685462
sim_desc,1,hf1_auc,0.7935011109714908
sim_desc,2,leaf_accuracy,0.5615384615384615
sim_desc,2,leaf_macro_f1,0.5348605566335568
sim_desc,2,h_micro_p,0.716012084592145
sim_desc,2,h_micro_r,0.6970588235294117
sim_desc,2,h_micro_f1,0.7064083457526079
sim_desc,2,h_samples_f1,0.7135897435897436
sim_desc,2,h_macro_f1,0.618698017275957
sim_desc,2,hf1_auc,0.8109355019352191
sim_desc,3,leaf_accuracy,0.5846153846153846
sim_desc,3,leaf_macro_f1,0.5568649490843609
sim_desc,3,h_micro_p,0.7401812688821753
sim_desc,3,h_micro_r,0.7205882352941176
sim_desc,3,h_micro_f1,0.7302533532041728
sim_desc,3,h_samples_f1,0.7415384615384616
sim_desc,3,h_macro_f1,0.6412177334285611
sim_desc,3,hf1_auc,0.824483176242226
sim_desc,4,leaf_accuracy,0.5692307692307692
sim_desc,4,leaf_macro_f1,0.5462549890582837
sim_desc,4,h_micro_p,0.6913946587537092
sim_desc,4,h_micro_r,0.6852941176470588
sim_desc,4,h_micro_f1,0.6883308714918759
sim_desc,4,h_samples_f1,0.7002564102564103
sim_desc,4,h_macro_f1,0.6170391365094334
sim_desc,4,hf1_auc,0.7970973084858831
