model,seed,metric,value
sim_names,0,leaf_accuracy,0.3076923076923077
sim_names,0,leaf_macro_f1,0.2385887955543494
sim_names,0,h_micro_p,0.4811320754716981
sim_names,0,h_micro_r,0.45
sim_names,0,h_micro_f1,0.4650455927051672
sim_names,0,h_samples_f1,0.4764102564102563
sim_names,0,h_macro_f1,0.3284908367684468
sim_names,0,hf1_auc,0.5755595072992817
sim_names,1,leaf_accuracy,0.2846153846153846
sim_names,1,leaf_macro_f1,0.20952615208468048
sim_names,1,h_micro_p,0.4504792332268371
sim_names,1,h_micro_r,0.4147058823529412
sim_names,1,h_micro_f1,0.4318529862174579
sim_names,1,h_samples_f1,0.4492307692307692
sim_names,1,h_macro_f1,0.2958457614953039
sim_names,1,hf1_auc,0.5720693049612882
sim_names,2,leaf_accuracy,0.3153846153846154
sim_names,2,leaf_macro_f1,0.26440211834948674
sim_names,2,h_micro_p,0.4936708860759494
sim_names,2,h_micro_r,0.4588235294117647
sim_names,2,h_micro_f1,0.47560975609756095
sim_names,2,h_samples_f1,0.4887179487179487
sim_names,2,h_macro_f1,0.3520791068864762
sim_names,2,hf1_auc,0.5785489429477582
sim_names,3,leaf_accuracy,0.3153846153846154
sim_names,3,leaf_macro_f1,0.25229922405430455
sim_names,3,h_micro_p,0.4919614147909968
sim_names,3,h_micro_r,0.45
sim_names,3,h_micro_f1,0.4700460829493088
sim_names,3,h_samples_f1,0.48717948717948717
sim_names,3,h_macro_f1,0.33995919843371486
sim_names,3,hf1_auc,0.5866704256146683
sim_names,4,leaf_accuracy,0.24615384615384617
sim_names,4,leaf_macro_f1,0.1818396974112937
sim_names,4,h_micro_p,0.43354430379746833
sim_names,4,h_micro_r,0.40294117647058825
sim_names,4,h_micro_f1,0.41768292682926833
sim_names,4,h_samples_f1,0.4341025641025641
sim_names,4,h_macro_f1,0.2798868298605842
sim_names,4,hf1_auc,0.5492603134992692
